"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 6, 2018",Illinois,Chicago,"4800 block of W Washington Blvd",0,1,N/A
"May 6, 2018",Illinois,Chicago,"8700 block of S Halsted St",1,0,N/A
"May 6, 2018",Illinois,Chicago,"13500 block of S Ave N",0,1,N/A
"May 6, 2018",Illinois,Chicago,"6600 block of S Evans Ave",0,1,N/A
"May 6, 2018",Illinois,Chicago,"3900 block of W Chicago Ave",0,1,N/A
"May 6, 2018",Illinois,Chicago,"2200 block of S Hoyne Ave",1,0,N/A
"May 6, 2018",Illinois,Chicago,"3300 block of W Madison Ave",0,2,N/A
"May 6, 2018",Illinois,Chicago,"900 block of W 94th St",0,1,N/A
"May 6, 2018",Maryland,Baltimore,"1100 block of Nanticoke St",1,0,N/A
"May 6, 2018",Louisiana,Harvey,"Harvey Blvd and Manhattan Blvd",0,1,N/A
"May 6, 2018",Louisiana,"New Orleans","1100 block of Decatur St",0,3,N/A
"May 6, 2018",Mississippi,Jackson,"3115 Bailey Ave",2,1,N/A
"May 6, 2018",Pennsylvania,Philadelphia,"1700 block of N 24th St",0,1,N/A
"May 5, 2018",Nevada,"Las Vegas","Geist Ave and Clifford St",0,1,N/A
"May 5, 2018",Pennsylvania,Philadelphia,"1500 block of W Grange Ave",0,2,N/A
"May 5, 2018",Texas,Houston,"12000 block of Richmond Ave",0,2,N/A
"May 5, 2018",Maryland,Baltimore,"S Payson St and W Pratt St",0,1,N/A
"May 5, 2018",Michigan,Fowlerville,"700 N Grand St",0,0,N/A
"May 5, 2018",Ohio,Fairfield,"3152 Lighthouse Dr",0,1,N/A
"May 5, 2018",Utah,Layton,"E 1950 N Avalon Dr",0,1,N/A
"May 5, 2018",Ohio,Dayton,"Embassy Pl and Republic Dr",0,0,N/A
"May 5, 2018",Ohio,Xenia,"400 block of Franklin Ave",0,1,N/A
"May 5, 2018",Illinois,"Round Lake (Round Lake Heights)","900 W Rollins Rd",0,1,N/A
"May 5, 2018",Texas,Garland,"1037 Northwest Hwy",1,0,N/A
"May 5, 2018","North Carolina",Benson,"1300 block of Chicopee Rd",0,1,N/A
"May 5, 2018",Illinois,Chicago,"2700 block of Ogden Ave",0,2,N/A
